COC,CAS,type,m_mol,D_a,D_w,Log_Koc_Kd,,logKd_pH,logKd_pH_sat,H,,p_vap,C_sol,pKa,pKb,RfD_oral,RfD_dermal,RfC_inhal,SF_oral,SF_dermal,URF_inhal,is_carcinogenic,MCL,TWA,AQL,BCF,,,,,,,,lamda_s,lambda_w,lambda_s_unsat
"Chlorophenol, 2-",95578,C,128.6,0.0501,0.00000946,2.59,Koc,0,0,0.000391,0.015730025,1.4,22000,8.4,-,0.005,0.004,0.0175,-,-,-,FALSE,-,-,-,214,0.5,0.011,0.53,1.3,0.014,0.044526351,0.01,0.66,-,-
Cumene,98828,A,120.2,0.065,0.0000071,0,Koc,0,0,0.0146,0.6021154,4.6,49.83056957,-,-,0.1,0.08,0.4,-,-,-,FALSE,-,245,-,1,0.5,-,-,-,-,-,-,-,16,16
Ethylbenzene,100414,A,106.2,0.075,0.0000078,2.56,Koc,0,0,0.00788,0.324977353,10,169,-,-,0.1,0.097,1.000000001,-,-,-,FALSE,0.7,435,-,1,0.5,0.074,0.39,1.3,0.14,0.266633684,0.002,0.005,228,228
Styrene,100425,A,104.2,0.071,0.000008,3.10656,Koc,0,0,0.00261,0.107638438,7.3,18.64146329,-,-,0.2,0.16,1.001,-,-,-,FALSE,0.1,213,-,1,0.5,0.055,0.38,0.91,0.089,0.200147475,0.001,0.005,210,210
"Dimethylphenol, 2,4-",105679,O,122.16,0.069970261,8.34332E-005,3.394935098,Koc,0,0,0.000921,0.037982759,0.0573,10,-,-,0.02,0.01,-,-,-,-,FALSE,-,-,-,150,0.5,0.015,0.49,1.2,0.02,0.059394118,0.005,0.66,14,14
Cresol (-p),106445,AP,108.1,0.074,0.00001,1.91,Koc,0,0,0.000000443,1.82697E-005,0.11,35318.40323,-,-,0.005,0.00325,-,-,-,-,FALSE,-,10,-,1,0.5,0.01,0.4,0.96,0.0087,0.037879251,0.01,0.66,28,28
"Dichlorobenzene, (1,4) (-p)",106467,AC,147,0.069,0.0000079,3.33,Koc,0,0,0.0016,0.065985249,1.2,145.0657895,-,-,0.03,-,0.800000002,0.024,0.026666667,0.0000063,TRUE,0.075,450,-,215,0.5,0.062,0.69,3.3,0.25,0.246551442,0.01,0.66,360,360
"Dichloroethane, 1,2-",107062,C,99,0.104,0.0000099,1.76,Koc,0,0,0.0012,0.049488937,80,8690,-,-,-,-,0.01001,0.091,0.091,0.000026,TRUE,0.005,4,-,2,0.5,0.0053,0.35,0.84,0.003,0.019584636,0.0005,0.005,360,360
Ethylene glycol,107211,O,62.07,0.108,0.0000122,-0.9,Koc,0,0,0.000000103,4.2478E-006,0.126,1000000,-,-,2,1,-,-,-,-,FALSE,-,-,-,1,0.5,-,-,-,-,-,-,-,24,24
"Methyl-2-pentanone, 4-",108101,O,100.2,0.073529101,8.67742E-005,-0.100742549,Koc,0,0,0.000416343,0.01717031,6,19000,-,-,0.08,0.064,0.07,-,-,-,FALSE,-,205,-,1,0.5,-,-,-,-,-,0.005,0.05,14,14
"Xylene, m-",108303,A,106.16,0.07,0.0000078,3.2,Koc,0,0,0.0052,0.21445206,8,158,-,-,2,1.6,0.7,-,-,-,FALSE,10,435,-,1,0.5,0.08,0.39,1.4,0.16,0.286510345,0.005,0.005,360,360
Cresol (-m),108394,AP,108.1,0.074,0.00001,1.94,Koc,0,0,0.000000443,1.82697E-005,0.08,25686.11144,-,-,0.05,0.025,-,-,-,-,FALSE,-,10,-,1,0.5,0.01,0.4,0.96,0.0091,0.037873749,0.01,0.66,49,49
Methyl cyclohexane,108872,O,92.2,0.0712,0.0000135,2.91,Koc,0,0,0.979,40.37472446,43,14,-,-,-,-,3,-,-,-,FALSE,-,1600,-,1,0.5,-,-,-,-,-,-,-,-,-
Toluene,108883,A,92.4,0.085,0.0000094,2.13,Koc,0,0,0.006304439,0.26,30,515,-,-,0.2,0.16,0.399999999,-,-,-,FALSE,1,147,-,70,0.5,0.045,0.32,0.77,0.054,0.159834535,0.002,0.005,28,28
Chlorobenzene,108907,AC,112.6,0.073,0.0000087,2.34,Koc,0,0,0.0037,0.152590889,11.8,472,-,-,0.02,0.0062,0.020000001,-,-,-,FALSE,0.1,350,-,450,0.5,0.041,0.43,1,0.069,0.15487261,0.002,0.005,300,300
Phenol,108952,AP,94.1,0.082,0.0000091,1.46,Koc,0,0,0.000000397,1.63623E-005,0.341,82800,10,-,0.6,0.54,2.1,-,-,-,FALSE,-,19,-,1,0.5,0.0055,0.33,0.79,0.0029,0.020103281,0.01,0.66,10,10
